1. Time Dummy Moving:;32,40705
1. Time Dummy in LOS:;34,92745
1. Time Player Braking:;35,75708
2. Time Dummy Moving:;91,589
2. Time Dummy in LOS:;94,3802
2. Time Player Braking:;95,03972
3. Time Dummy Moving:;103,9045
3. Time Dummy in LOS:;106,2208
3. Time Player Braking:;107,2799
4. Time Dummy Moving:;138,42
4. Time Dummy in LOS:;141,1547
4. Time Player Braking:;141,821
5. Time Dummy Moving:;172,6102
5. Time Dummy in LOS:;175,2975
5. Time Player Braking:;175,772
6. Time Dummy Moving:;223,32
6. Time Dummy in LOS:;225,7141
6. Time Player Braking:;226,3765
