1. Time Dummy Moving:;210,5103
1. Time Dummy in LOS:;213,2365
1. Time Player Braking:;214,2668
2. Time Dummy Moving:;258,8
2. Time Dummy in LOS:;261,4002
2. Time Player Braking:;262,166
3. Time Dummy Moving:;351,1223
3. Time Dummy in LOS:;353,4197
3. Time Player Braking:;354,9382
4. Time Dummy Moving:;419,7082
4. Time Dummy in LOS:;422,3673
4. Time Player Braking:;423,5081
5. Time Dummy Moving:;479,5495
5. Time Dummy in LOS:;481,9851
5. Time Player Braking:;482,6262
6. Time Dummy Moving:;497,8695
6. Time Dummy in LOS:;500,6893
6. Time Player Braking:;501,3548
