1. Time Dummy Moving:;132,82
1. Time Dummy in LOS:;135,5887
1. Time Player Braking:;136,2134
2. Time Dummy Moving:;216,8974
2. Time Dummy in LOS:;219,7581
2. Time Player Braking:;220,4204
3. Time Dummy Moving:;280,7
3. Time Dummy in LOS:;283,0343
3. Time Player Braking:;285,6931
4. Time Dummy Moving:;350,5
4. Time Dummy in LOS:;353,235
4. Time Player Braking:;353,8716
5. Time Dummy Moving:;364,32
5. Time Dummy in LOS:;367,1574
5. Time Player Braking:;367,7423
6. Time Dummy Moving:;411,74
6. Time Dummy in LOS:;414,1183
6. Time Player Braking:;414,9921
